??,??,??,???,???,??,??,???(?),????(?),???
???,2016-11-01?2019-10-31,,-1068.97,-9.99%,7084.44,11714.98,70891372248,8781429304,-
10/31/2019,9709.1,9635.33,-46.21,-0.48%,9626.93,9720.97,101017232,13739823,-
10/30/2019,9707.18,9681.54,-64.49,-0.66%,9647,9726.95,110286048,13744841,-
10/29/2019,9812.48,9746.03,-55.84,-0.57%,9746.03,9818.74,136444992,17215892,-
10/28/2019,9721.64,9801.87,141.43,1.46%,9704.53,9802.15,129557144,16707779,-
10/25/2019,9562.3,9660.44,104.68,1.10%,9509.34,9665.6,90414488,12252364,-
10/24/2019,9570.33,9555.76,-11.99,-0.13%,9495,9598.33,79794040,10272407,-
10/23/2019,9641.89,9567.75,-74.34,-0.77%,9547.5,9652.07,82244648,10558018,-
10/22/2019,9582.12,9642.09,88.52,0.93%,9558.36,9642.93,81750880,11009496,-
10/21/2019,9533.09,9553.57,20.06,0.21%,9476.46,9560.98,82555328,10879833,-
10/18/2019,9665.81,9533.51,-111.88,-1.16%,9516.75,9706.38,96939584,12354777,-
10/17/2019,9657.09,9645.39,3.33,0.03%,9617.01,9670.7,81047416,10783769,-
10/16/2019,9678.31,9642.06,-29.67,-0.31%,9635.45,9722.12,93422656,12669362,-
10/15/2019,9759.95,9671.73,-114.91,-1.17%,9658.51,9759.95,107234168,13861349,-
10/14/2019,9753.58,9786.64,120.06,1.24%,9725.68,9840.59,124531576,16165224,-
10/11/2019,9656.98,9666.58,28.48,0.30%,9583.52,9704.68,100694096,13609470,-
10/10/2019,9504.03,9638.1,131.54,1.38%,9480.17,9643.52,97773448,13871050,-
10/9/2019,9443.45,9506.56,31.81,0.34%,9380.57,9507.04,82136544,10918697,-
10/8/2019,9474.57,9474.75,28.51,0.30%,9468.74,9556.96,86208952,11728867,-
9/30/2019,9544.02,9446.24,-102.72,-1.08%,9446.04,9581.64,81835912,10854512,-
9/27/2019,9470.54,9548.96,84.12,0.89%,9467.15,9574.5,92760144,12166178,-
9/26/2019,9698.28,9464.84,-206.22,-2.13%,9464.84,9707.92,120626696,16138176,-
9/25/2019,9768.38,9671.06,-140.32,-1.43%,9656.05,9768.38,122330048,16203130,-
9/24/2019,9783.39,9811.38,30.24,0.31%,9761.03,9896.18,125921976,17647790,-
9/23/2019,9853.47,9781.14,-100.11,-1.01%,9703.66,9853.47,120508184,15848292,-
9/20/2019,9873.94,9881.25,29.05,0.29%,9832.39,9903.69,122139856,16439761,-
9/19/2019,9786.4,9852.2,98.89,1.01%,9733.97,9852.2,112605616,14465117,-
9/18/2019,9747.98,9753.31,30.51,0.31%,9701.64,9785.62,104783504,13719978,-
9/17/2019,9890.58,9722.8,-195.29,-1.97%,9684.15,9890.58,134570016,16424034,-
9/16/2019,9952.33,9918.09,-1.71,-0.02%,9877.11,9962.15,129608736,16410545,-
9/12/2019,9886.25,9919.8,66.08,0.67%,9837.27,9941.17,119708568,15087729,-
9/11/2019,9985.11,9853.72,-111.21,-1.12%,9835.97,10000.25,151229232,19143060,-
9/10/2019,10005.81,9964.93,-37,-0.37%,9903.42,10005.81,165753536,20740750,-
9/9/2019,9907.13,10001.93,178.51,1.82%,9853.69,10001.93,178125584,22404018,-
9/6/2019,9829.97,9823.42,39.92,0.41%,9742.28,9837.23,144141440,19059644,-
9/5/2019,9752.34,9783.5,83.18,0.86%,9751.95,9900.76,198809696,24023792,-
9/4/2019,9612.62,9700.32,66.63,0.69%,9590.98,9700.32,149650832,18638798,-
9/3/2019,9591.42,9633.69,64.22,0.67%,9547.76,9633.69,134180536,17466026,-
9/2/2019,9393.03,9569.47,203.79,2.18%,9389.48,9586.52,130900960,17197878,-
8/30/2019,9458.39,9365.68,-32.79,-0.35%,9310.11,9492.04,125451368,16374324,-
8/29/2019,9429,9398.47,-15.53,-0.16%,9363.15,9440.67,112352624,13650290,-
8/28/2019,9449.4,9414,-29.18,-0.31%,9375.57,9453.75,121018632,14588242,-
8/27/2019,9333.11,9443.18,172.79,1.86%,9333.11,9517.65,145818560,17982186,-
8/26/2019,9181.71,9270.39,-92.16,-0.98%,9173.01,9298.1,117139944,14536815,-
8/23/2019,9357,9362.55,11.99,0.13%,9311.26,9397.76,112053040,14063852,-
8/22/2019,9350.65,9350.56,27.81,0.30%,9282.76,9363.79,116376200,13839775,-
8/21/2019,9304.52,9322.75,-5.98,-0.06%,9287.31,9361.74,112778568,13821333,-
8/20/2019,9340.66,9328.73,-0.24,0.00%,9301.92,9389.39,135482192,16307493,-
8/19/2019,9165.8,9328.97,268.05,2.96%,9141.89,9328.97,147233344,18669058,-
8/16/2019,9007.15,9060.92,51.24,0.57%,8995.57,9136.21,105224480,13282654,-
8/15/2019,8779.53,9009.68,43.21,0.48%,8758.04,9011.77,98966776,11858577,-
